id;user_id;code;name;product_group_id;description;initial_quantity;unit;notes;created_at;barcode;is_serial_tracked;tracking_notes;die_material;warehouse_id
d99f0c01-541d-4572-85b3-69a9bf043bcc;d07dd345-8bff-4c4c-a71c-a6b161c4161d;P8425752338;Die G 350-2.5X40/30;8ec260a0-2dda-4f40-9cf8-3bcac8771317;;1;حلقه;;2026-05-18 06:04:59.101088+00;P8425752338;true;;X46Cr13;f9af13e0-c9b1-4458-8c0e-237a2f7ae153
a1fce1dd-28c8-47ee-bb9c-8df1b8a664cd;d07dd345-8bff-4c4c-a71c-a6b161c4161d;P8546196965;Die 420FEEDIRAN-4X50;8ec260a0-2dda-4f40-9cf8-3bcac8771317;;1;حلقه;;2026-05-18 06:25:42.338201+00;P8546196965;false;;X46Cr13;f9af13e0-c9b1-4458-8c0e-237a2f7ae153
3ab69b6c-871a-46dd-8753-d0c0828bff52;d07dd345-8bff-4c4c-a71c-a6b161c4161d;P0013055143;Die PTN 580/140-2X28/30;8ec260a0-2dda-4f40-9cf8-3bcac8771317;sn-548;1;حلقه;;2026-05-18 10:31:15.416413+00;P0013055143;false;;X46Cr13;f9af13e0-c9b1-4458-8c0e-237a2f7ae153
e43d44da-514d-468e-b9da-1a34a32a7413;d07dd345-8bff-4c4c-a71c-a6b161c4161d;P0002369085;Die PTN 580/140-1.5X38/22;8ec260a0-2dda-4f40-9cf8-3bcac8771317;;1;حلقه;;2026-05-18 10:28:03.141031+00;P0002369085;true;;X46Cr13;f9af13e0-c9b1-4458-8c0e-237a2f7ae153
ee3a4ffb-f13c-43b4-8163-d3645cf04dbd;d07dd345-8bff-4c4c-a71c-a6b161c4161d;P0027775617;Die PTN 580/140-2.2X40/26;8ec260a0-2dda-4f40-9cf8-3bcac8771317;;2;حلقه;;2026-05-18 10:32:35.498817+00;P0027775617;true;;X46Cr13;f9af13e0-c9b1-4458-8c0e-237a2f7ae153
98463d35-25de-402b-b549-87761b74a9e4;d07dd345-8bff-4c4c-a71c-a6b161c4161d;P0039999010;Die PTN 580/140-3X45/39;8ec260a0-2dda-4f40-9cf8-3bcac8771317;;2;حلقه;;2026-05-18 10:34:48.863151+00;P0039999010;true;;X46Cr13;f9af13e0-c9b1-4458-8c0e-237a2f7ae153
d0b6dc3f-9758-4c36-a218-27c9b310afa8;d07dd345-8bff-4c4c-a71c-a6b161c4161d;P0051168786;Die PTN 580/140-3X35/40;8ec260a0-2dda-4f40-9cf8-3bcac8771317;;1;حلقه;;2026-05-18 10:37:03.435101+00;P0051168786;true;;X46Cr13;f9af13e0-c9b1-4458-8c0e-237a2f7ae153
59f2ec15-012f-4c08-926e-7395282b7b46;d07dd345-8bff-4c4c-a71c-a6b161c4161d;P0073679214;Die PTN 580/140-3.5X48/38.5;8ec260a0-2dda-4f40-9cf8-3bcac8771317;;1;حلقه;;2026-05-18 10:39:43.846792+00;P0073679214;true;;X46Cr13;f9af13e0-c9b1-4458-8c0e-237a2f7ae153
135d43eb-ca12-4c81-8873-68d9279b9252;d07dd345-8bff-4c4c-a71c-a6b161c4161d;P0080782050;Die PTN 580/140-4.5X50/49.5;8ec260a0-2dda-4f40-9cf8-3bcac8771317;;1;حلقه;;2026-05-18 10:40:59.395771+00;P0080782050;true;;X46Cr13;f9af13e0-c9b1-4458-8c0e-237a2f7ae153
71f208b7-f915-4e12-928f-a8a2c4044e06;d07dd345-8bff-4c4c-a71c-a6b161c4161d;P9987373721;Die TPM 520/178-4X48/55;8ec260a0-2dda-4f40-9cf8-3bcac8771317;تاجور;1;حلقه;;2026-05-18 10:26:28.500772+00;P9987373721;true;;X46Cr13;5a0d6eb5-e542-4c33-ba26-f6353a842ed2
aecc1278-dae9-409d-beb0-6b9d70d060d7;d07dd345-8bff-4c4c-a71c-a6b161c4161d;P9664052621;Die YEMAK 520/178/222-3.5X46/46;8ec260a0-2dda-4f40-9cf8-3bcac8771317;;1;حلقه;;2026-05-18 09:31:35.027347+00;P9664052621;true;;X46Cr13;5a0d6eb5-e542-4c33-ba26-f6353a842ed2
4dcf423f-2f23-423b-9a52-266be9d063a3;d07dd345-8bff-4c4c-a71c-a6b161c4161d;P9635130754;Die YEMAK 520/178/222-3X48/45;8ec260a0-2dda-4f40-9cf8-3bcac8771317;;1;حلقه;;2026-05-18 09:26:56.08622+00;P9635130754;true;;X46Cr13;f9af13e0-c9b1-4458-8c0e-237a2f7ae153
c4ad66ec-54b7-4d88-ac37-ef163ee59e7e;d07dd345-8bff-4c4c-a71c-a6b161c4161d;P9627583424;Die YEMAK 520/178/222-2.5X30/38;8ec260a0-2dda-4f40-9cf8-3bcac8771317;;1;حلقه;;2026-05-18 09:25:18.954304+00;P9627583424;true;;X46Cr13;5a0d6eb5-e542-4c33-ba26-f6353a842ed2
